geo_id,fips,county,total_employed,agriculture,construction,manufacturing,wholesale_trade,retail_trade,transport_utilities,information,finance_insurance_realestate,prof_scientific_waste,edu_health,arts_recreation,other,public_admin,year
0500000US16055,16055,"Kootenai County, Idaho",59952,688,5460,6496,1218,8012,1685,488,5380,5966,12755,6417,3135,2252,2010
0500000US16083,16083,"Twin Falls County, Idaho",35567,4350,2693,3574,692,5943,2100,492,2002,1939,7839,2047,1035,861,2010
0500000US17001,17001,"Adams County, Illinois",31219,896,1941,5031,905,6081,1662,486,1963,1460,6758,2116,1573,347,2010
0500000US17019,17019,"Champaign County, Illinois",96700,652,3687,6851,2168,9645,2660,3185,5522,7910,36792,10117,5348,2163,2010
0500000US17031,17031,"Cook County, Illinois",2367822,3251,110560,253304,67769,233915,143619,57227,193815,320861,534028,229813,123323,96337,2010
0500000US17037,17037,"DeKalb County, Illinois",51862,360,2883,7805,2122,5896,1602,1041,2053,4215,13526,6591,1657,2111,2010
0500000US17043,17043,"DuPage County, Illinois",465365,1641,21306,51915,19517,50509,26925,12483,44148,62583,99781,40191,21961,12405,2010
0500000US17089,17089,"Kane County, Illinois",239955,1616,14741,38409,9128,29522,14197,5175,16996,29633,46599,18146,8569,7224,2010
0500000US17091,17091,"Kankakee County, Illinois",48535,991,2739,6195,1852,6321,2743,708,2713,3421,11894,5118,2293,1547,2010
0500000US17093,17093,"Kendall County, Illinois",55817,419,3357,7706,2560,6049,3273,1164,3915,5818,12221,4858,1684,2793,2010
0500000US17097,17097,"Lake County, Illinois",332107,1022,13474,51916,14669,41576,13469,6706,23379,41844,63067,35424,15218,10343,2010
0500000US17099,17099,"LaSalle County, Illinois",53495,1913,3718,7511,654,7509,3401,827,2676,4170,11456,5002,2342,2316,2010
0500000US17111,17111,"McHenry County, Illinois",152679,1406,11390,25548,6160,16501,6985,3082,11258,16902,31146,12573,5690,4038,2010
0500000US17113,17113,"McLean County, Illinois",87438,850,3162,5878,1073,10074,3493,1860,18415,5726,21685,8792,4308,2122,2010
0500000US17115,17115,"Macon County, Illinois",46390,1001,2274,6318,1425,6150,3709,970,2332,3265,10296,4327,2699,1624,2010
0500000US17119,17119,"Madison County, Illinois",123020,949,8060,14221,3555,13646,9000,1306,9030,11109,28343,12569,6367,4865,2010
0500000US17143,17143,"Peoria County, Illinois",84627,434,3402,14684,2292,9368,3523,1587,4428,9673,21481,6124,3788,3843,2010
0500000US17161,17161,"Rock Island County, Illinois",68332,982,2864,12372,2312,7932,3337,1431,2862,5554,16824,5461,3957,2444,2010
0500000US17163,17163,"St. Clair County, Illinois",121253,1264,5536,10485,3021,14275,6332,1462,8823,12688,32623,10676,6406,7662,2010
0500000US17167,17167,"Sangamon County, Illinois",97607,936,4580,3950,2328,10534,4788,1838,7075,8069,25198,7414,5775,15122,2010
0500000US17179,17179,"Tazewell County, Illinois",60235,1150,3587,10712,1650,6507,3661,1057,3746,4613,13485,4535,3254,2278,2010
0500000US17183,17183,"Vermilion County, Illinois",32082,751,1730,5713,1262,4405,1507,585,1065,1439,8423,2339,1462,1401,2010
0500000US17197,17197,"Will County, Illinois",311382,1172,17860,36319,10641,39959,25657,6617,22509,34111,66771,23944,13966,11856,2010
0500000US17199,17199,"Williamson County, Illinois",,,,,,,,,,,,,,,2010
0500000US17201,17201,"Winnebago County, Illinois",127255,462,6664,26392,2848,14144,6328,2109,5940,10144,31198,10458,6913,3655,2010
0500000US18003,18003,"Allen County, Indiana",157948,934,7237,29620,5106,20407,6347,2564,10216,13414,38873,13367,6863,3000,2010
0500000US18005,18005,"Bartholomew County, Indiana",,,,,,,,,,,,,,,2010
0500000US18019,18019,"Clark County, Indiana",53298,165,2914,7376,1004,5315,3870,436,4149,4769,11333,6336,2655,2976,2010
